id,name,description,area,location,latitude,longitude,rating,review_count,image_url,created_at,style_activity,style_hotplace,style_nature,style_landmark,style_healing,style_culture,style_photo,style_shopping,style_exotic
1,남산,서울 중심에서 자연과 도시를 함께 즐길 수 있는 산책 명소입니다.,서초구,남산 입구,37.448865,126.927495,5,277,https://www.lorempixel.com/30/656,2023-10-16 05:46:07,False,True,False,True,True,False,False,False,True
2,DDP,"현대적인 디자인과 전시, 야경으로 유명한 동대문 디자인 플라자입니다.",용산구,DDP 입구,37.514627,126.886218,3,285,https://placekitten.com/124/951,2025-01-03 07:27:47,True,False,True,True,False,True,True,True,True
3,홍대거리,젊은 문화와 예술이 공존하는 핫플레이스입니다.,노원구,홍대거리 입구,37.424877,126.892886,4,1425,https://placekitten.com/124/818,2023-12-02 01:07:24,True,False,False,True,True,True,True,True,True
4,한강공원,도심 속 자연과 여유를 즐길 수 있는 힐링 스팟입니다.,종로구,한강공원 입구,37.544352,126.82562,5,1253,https://dummyimage.com/647x162,2025-04-05 18:42:30,True,True,True,False,True,True,False,True,False
5,창덕궁,"아름다운 후원이 있는 조선 시대 궁궐로, 유네스코 세계문화유산입니다.",용산구,창덕궁 입구,37.48052,126.924814,5,863,https://dummyimage.com/18x742,2024-04-05 17:47:04,True,False,False,False,False,True,True,False,False
6,한강공원,도심 속 자연과 여유를 즐길 수 있는 힐링 스팟입니다.,용산구,한강공원 입구,37.577719,126.884411,5,1368,https://dummyimage.com/310x418,2024-11-09 19:57:00,False,True,True,False,False,False,False,True,True
7,이태원,글로벌 문화가 어우러진 독특한 분위기의 거리입니다.,마포구,이태원 입구,37.58044,126.825956,5,1985,https://placekitten.com/104/435,2024-08-03 01:10:35,True,False,True,False,True,True,True,False,True
8,북촌한옥마을,전통 한옥과 골목길이 어우러진 고즈넉한 마을입니다.,노원구,북촌한옥마을 입구,37.517315,126.868374,5,1890,https://placekitten.com/708/761,2025-03-22 01:06:47,True,False,True,False,False,False,True,False,False
9,북촌한옥마을,전통 한옥과 골목길이 어우러진 고즈넉한 마을입니다.,마포구,북촌한옥마을 입구,37.423859,126.856705,5,673,https://www.lorempixel.com/83/610,2024-01-15 23:40:18,False,True,True,False,False,True,False,False,False
10,롯데타워,"초고층에서 즐기는 전망과 쇼핑, 다양한 즐길거리가 가득한 공간입니다.",은평구,롯데타워 입구,37.430548,127.065246,3,1318,https://placeimg.com/909/622/any,2023-12-19 17:48:19,False,True,True,False,False,True,True,True,False
