id,name,food_type,location,latitude,longitude,price_level,rating,review_count,image_url,created_at,style_date,style_business,style_anniversary,style_team,style_family,style_view,style_meeting,style_quiet,style_modern,style_traditional
1,김이이 맛집,퓨전,성수동,37.452811,126.910474,1,5,114,https://www.lorempixel.com/370/175,2024-05-24 14:21:17,True,True,True,True,True,True,False,True,False,False
2,주식회사 심 맛집,중식,종로구,37.412849,126.895476,1,4,155,https://www.lorempixel.com/249/513,2024-11-27 07:55:57,False,False,True,True,True,False,True,False,True,False
3,김한김 맛집,카페,건대,37.42427,127.028204,4,1,855,https://placekitten.com/840/285,2024-06-21 18:27:45,True,True,True,False,False,False,True,False,True,True
4,(주) 강김김 맛집,양식,건대,37.473856,127.065783,1,2,976,https://placeimg.com/699/798/any,2025-02-08 00:53:48,True,False,True,False,False,True,True,False,True,False
5,서김송 맛집,한식,성수동,37.440925,126.860677,3,1,727,https://placekitten.com/41/163,2025-04-22 11:20:01,False,False,False,True,False,True,False,True,True,True
6,주식회사 김 맛집,중식,잠실,37.583723,127.066882,3,1,405,https://placeimg.com/308/464/any,2024-11-29 23:51:33,False,False,True,True,False,False,True,True,False,True
7,송김김 맛집,퓨전,성수동,37.451951,127.031726,1,1,550,https://placeimg.com/63/354/any,2025-04-04 01:41:14,False,True,True,True,True,False,False,False,True,False
8,유한회사 류오이 맛집,한식,강남구,37.452008,126.834945,1,1,947,https://www.lorempixel.com/334/509,2024-08-29 07:50:14,False,False,True,True,False,False,True,False,False,False
9,(주) 이 맛집,양식,종로구,37.497722,126.839963,4,3,174,https://www.lorempixel.com/449/534,2024-05-20 16:52:30,False,False,True,False,True,False,True,False,False,False
10,서하 맛집,퓨전,을지로,37.510397,126.869218,2,3,273,https://dummyimage.com/985x78,2024-11-04 22:41:54,True,False,False,True,False,True,True,True,True,True
11,최이 맛집,양식,건대,37.562284,126.804882,1,3,789,https://www.lorempixel.com/817/397,2024-07-07 00:48:44,False,False,True,True,False,True,True,False,False,True
12,주식회사 이 맛집,양식,종로구,37.541565,126.846287,4,3,929,https://dummyimage.com/410x990,2025-01-06 02:53:43,False,False,True,True,True,False,False,True,True,True
13,주식회사 윤 맛집,중식,을지로,37.584035,126.852327,3,2,603,https://dummyimage.com/275x294,2025-01-02 23:40:34,True,False,True,False,True,False,True,True,True,False
14,(유) 권이안 맛집,퓨전,이태원,37.574865,126.806922,2,3,53,https://placekitten.com/224/606,2025-04-20 18:25:06,False,True,False,False,False,True,True,True,False,False
15,김장 맛집,카페,강남구,37.585163,127.062325,2,2,410,https://placekitten.com/883/454,2025-04-29 16:07:21,True,True,False,True,False,False,True,True,False,True
16,유한회사 김 맛집,일식,홍대,37.487132,126.993113,3,2,927,https://placeimg.com/601/108/any,2024-10-01 15:49:25,True,True,False,False,False,False,True,True,False,False
17,이이류 맛집,양식,홍대,37.479825,126.902799,1,5,430,https://placeimg.com/533/525/any,2024-10-31 13:10:56,False,False,True,True,True,False,False,False,True,False
18,주식회사 김 맛집,양식,성수동,37.572521,127.080505,2,1,943,https://dummyimage.com/4x974,2024-05-23 17:54:03,True,True,False,True,False,True,True,False,True,False
19,윤김 맛집,일식,성수동,37.575044,127.066943,2,4,117,https://www.lorempixel.com/872/714,2024-10-07 14:52:57,True,True,False,True,True,False,False,False,False,False
20,손박 맛집,양식,건대,37.41383,126.835068,2,2,523,https://dummyimage.com/716x656,2024-06-16 21:41:18,True,True,True,True,False,True,False,True,False,True
21,김민 맛집,한식,이태원,37.421354,126.956988,1,2,619,https://placeimg.com/70/670/any,2024-12-24 21:44:42,True,True,True,True,True,False,True,False,True,True
22,유한회사 장권권 맛집,카페,삼청동,37.559532,127.016489,1,3,741,https://placekitten.com/941/987,2024-09-07 23:26:42,False,False,False,False,False,False,False,False,False,False
23,김박 맛집,퓨전,이태원,37.53759,126.926937,1,4,909,https://dummyimage.com/636x499,2024-10-22 15:11:08,True,True,True,True,True,True,False,False,True,False
24,유한회사 김 맛집,중식,을지로,37.572551,127.031536,2,2,877,https://dummyimage.com/102x911,2024-07-12 07:55:29,True,False,True,False,True,False,True,True,False,True
25,(주) 최하황 맛집,일식,잠실,37.437815,126.837887,3,2,302,https://placekitten.com/984/21,2024-08-27 22:49:40,False,False,False,True,False,False,False,True,True,True
26,주식회사 문배성 맛집,한식,이태원,37.570328,126.906585,1,1,761,https://www.lorempixel.com/924/968,2025-04-14 13:44:19,False,True,False,True,True,True,True,True,True,False
27,고김 맛집,중식,홍대,37.467285,126.958133,4,4,811,https://placeimg.com/195/877/any,2025-04-27 16:45:30,False,True,True,False,True,True,False,False,True,True
28,차김박 맛집,카페,종로구,37.418056,126.917101,1,4,653,https://www.lorempixel.com/96/253,2025-05-19 02:22:17,False,False,True,False,False,False,False,True,True,False
29,김안 맛집,카페,건대,37.591261,126.888064,2,5,289,https://www.lorempixel.com/910/444,2024-10-26 08:56:03,True,False,False,False,True,False,True,True,True,False
30,김박김 맛집,양식,합정,37.494502,126.836941,4,5,405,https://placeimg.com/518/447/any,2025-05-15 18:36:59,False,True,True,True,True,True,True,True,True,False
